time,gpu_utilization_percent,gpu_power_watts,memory_mb
0.00,4.00,35.32,621.11
0.10,9.00,39.50,844.61
0.20,10.00,43.92,844.61
0.32,14.00,48.52,846.11
0.42,9.00,52.88,846.11
0.54,14.00,57.54,846.11
0.64,10.00,62.06,846.11
0.75,10.00,65.64,846.11
0.85,12.00,66.00,846.11
0.99,13.00,66.46,846.11
1.09,9.00,66.76,846.11
1.21,15.00,67.18,846.11
1.31,10.00,67.19,846.36
1.42,14.00,67.15,846.36
1.52,11.00,67.18,846.36
1.64,13.00,67.10,846.61
1.74,11.00,67.10,846.86
1.85,11.00,67.14,846.86
1.95,13.00,67.18,846.86
2.08,13.00,67.16,846.86
2.18,11.00,67.23,846.86
2.30,14.00,67.27,846.86
